Class Code,Class Title,Class Description,Credit Hours,Class Instructors,Academic Career
ACCT 5100,Oil and Gas Accounting,"This course introduces students to the oil and gas industry and its unique accounting and finance issues. The course will introduce oil and gas terminology, analyze the components of an income statement, present book and tax accounting differences and enable you to prepare an economic purchase evaluation for oil and gas producing assets. We will review, discuss and debate current issues relating to the energy industry. Previously offered as a special topics course. Recommended restriction: ACCT-MS or ACTX-MS or C-FNCEACCT or C-FNCEACTX or C-ACCT or C-ACCTACTX graduate students only.",3,C. Maxwell,GRAD
ACCT 3230,Corporate Financial Reporting 2,"Second in a two-course sequence building and extending detailed knowledge of preparation, analysis and use of financial statements.",3,B. Schonberger,UGRD
ACCT 4250,Financial Statement Analysis,"Focuses on the use of U.S. and international accounting information by decision-makers external to the firm. Considers judgments made by investors, security analysts, bank lending officers, and auditors. Emphasizes impact of changes to financial statement elements, equity valuation and profitability analysis. Same as <a href=""/search/?p=ACCT%205250"" data-action=""result-detail"" data-group=""code:ACCT 5250"" >ACCT 5250</a>.",3,D. Probert,UGRD
ACCT 5550,Data Analytics for Accounting,"Exploration of key components of Data Analytics that are of particular utility to accountants. This course has 2 primary elements to it: (1) Describe the Analytics process using an established data analytics model called the IMPACT cycle, and (2) Illustrate the process in audit, managerial accounting, and financial reporting.",3,R. Parker,GRAD
ACCT 3220,Corporate Financial Reporting 1,First of a two-course sequence intended to provide students with increased fluency in the language of business. Focuses on U.S. and international accounting concepts and methods that underlie financial statements and the related implications for interpreting financial accounting information.,3,"C. Maxwell, R. Parker, A. Stephan, S. Zechman",UGRD
ACCT 5250,Financial Statement Analysis,"Focuses on the use of U.S. and international accounting information by decision-makers external to the firm. Considers judgments made by investors, security analysts, bank lending officers, and auditors. Emphasizes impact of changes to financial statement elements, equity valuation and profitability analysis. Same as <a href=""/search/?p=ACCT%204250"" data-action=""result-detail"" data-group=""code:ACCT 4250"" >ACCT 4250</a>.",3,D. Probert,GRAD
ACCT 6900,Independent Study,Prior department consent required of instructor under whose direction study is taken. Departmental form required.,6,,GRAD
AIRR 1947,Air Force ROTC Leadership Laboratory,"All AFROTC cadets must attend leadership lab (two hours per week). The laboratory involves a study of Air Force customs and courtesies, drill and ceremonies, career opportunities and the life and work of an Air Force junior officer. Students (cadets) seeking a commission must take this lab in conjunction with their AIRR lecture/course. &quot;Special Students&quot; NOT seeking a commission, are not required or allowed to attend LLAB (Leadership Lab).",0,E. Brown,UGRD
AIRR 4010,"National Security, Leadership Responsibilities/Commissioning Preparation 1",This course is designed to address the basic elements of national security policy and process.  The cadet will comprehend the air and space power operations as well as understand selected roles of the military in society and current domestic and international issues affecting the military profession.,3,M. Riester,UGRD
ANTH 1145,Exploring a Non-Western Culture: The Aztecs,"Explores the culture of the Aztec people of Central Mexico: their subsistence, society, religion, and achievements, as well as the impact of the Aztec empire in Mesoamerica. Also reviews the clash of a non-western society with the western world with the arrival of the Spanish conquistadors.",3,G. Gutierrez,UGRD
