input,output
What is Algorithms?,"Algorithms is a course that covers the fundamentals of algorithms and various algorithmic strategies. It includes topics such as time and space complexity, sorting algorithms, recurrence relations, divide and conquer algorithms, greedy algorithms, dynamic programming, linear programming, graph algorithms, problems in P and NP, and approximation algorithms. The course is also known as CSPB 3104."
Can you describe CSCI 3104?,"CSCI 3104, also known as CSPB 3104, is a course at the undergraduate level. It focuses on teaching the basics of algorithms and different algorithmic strategies. The course covers topics such as time and space complexity, sorting algorithms, recurrence relations, divide and conquer algorithms, greedy algorithms, dynamic programming, linear programming, graph algorithms, problems in P and NP, and approximation algorithms. The course may vary in terms of its credit hours and specific sections."
How many credit hours is Algorithms worth?,The number of credit hours for the Algorithms course may vary depending on the specific section. The credit hours for the course are not explicitly mentioned in the provided information.
Who teaches Algorithms?,The instructors for the Algorithms course are L. Chen and J. Jarzemsky.
What is the academic career for Algorithms?,The academic career for Algorithms is undergraduate (UGRD).
Are there any restrictions such as prerequisites for enrolling in Algorithms?,The information does not mention any specific restrictions or prerequisites for enrolling in the Algorithms course. The restrictions and prerequisites may vary depending on the specific section of the course.
What is Discrete Structures Workgroup?,"Discrete Structures Workgroup is a class that provides additional problem-solving practice and guidance for students enrolled in CSCI 2824. It offers a collaborative environment for students to further develop their problem-solving skills with the help of facilitators. However, please note that it does not count as Computer Science credit for the Computer Science BA, BS, or minor."
Can you describe CSCI 2834?,"CSCI 2834 is a class known as Discrete Structures Workgroup. It offers additional problem-solving practice and guidance for students who are already enrolled in CSCI 2824. In the class, students have the opportunity to work collaboratively and enhance their problem-solving skills with the assistance of facilitators. Discrete Structures Workgroup is a 1-credit hour class."
How many credit hours is Discrete Structures Workgroup worth?,Discrete Structures Workgroup is worth 1 credit hour.
Who teaches Discrete Structures Workgroup?,The information about the specific instructor(s) for Discrete Structures Workgroup is not available.
What is the academic career for Discrete Structures Workgroup?,Discrete Structures Workgroup is an undergraduate (UGRD) level course.
Are there any restrictions such as prerequisites for enrolling in Discrete Structures Workgroup?,"Yes, there is a corequisite requirement for Discrete Structures Workgroup. Students must also be enrolled in CSCI 2824 in order to take this class."
What is Computer Science as a Field of Work and Study?,"Computer Science as a Field of Work and Study is a course that introduces the curriculum, learning techniques, time management, and career opportunities in Computer Science. It aims to provide students with an overview of the field and prepare them for further studies in Computer Science. The course may include presentations from alumni and professionals with relevant educational and professional experience."
Can you describe CSCI 1000?,"CSCI 1000, also known as Computer Science as a Field of Work and Study, is a course that introduces students to the curriculum, learning techniques, time management, and career opportunities in Computer Science. It covers various aspects of the field and provides insights into the field's practical applications. The course may include presentations from alumni and professionals in the Computer Science industry."
How many credit hours is Computer Science as a Field of Work and Study worth?,Computer Science as a Field of Work and Study is worth 1 credit hour.
Who teaches Computer Science as a Field of Work and Study?,The instructors for Computer Science as a Field of Work and Study are not specified.
What is the academic career for Computer Science as a Field of Work and Study?,Computer Science as a Field of Work and Study is offered for undergraduate academic career.
Are there any restrictions such as prerequisites for enrolling in Computer Science as a Field of Work and Study?,"Yes, there are restrictions for enrolling in Computer Science as a Field of Work and Study. It is restricted to students with 0-26 credits (Freshmen) who are majoring in Computer Science (CSEN-BSCS or CSEN-BA) or Engineering Open Option (XXEN)."
What is Introduction to Data Science with Probability and Statistics?,"Introduction to Data Science with Probability and Statistics is a course with the class code CSCI 3022. It is an introductory course that teaches students the tools, methods, and theory necessary for extracting insights from data. The course covers various topics such as data cleaning and munging algorithms, probability theory and common distributions, statistical simulation, drawing inferences from data, and basic statistical modeling. This course is also offered as CSPB 3022."
Can you describe CSCI 3022?,"CSCI 3022, also known as Introduction to Data Science with Probability and Statistics, is a course that introduces students to the tools, methods, and theory behind extracting insights from data. The course covers algorithms for cleaning and munging data, probability theory and common distributions, statistical simulation, drawing inferences from data, and basic statistical modeling. It is a 3-credit course offered at the undergraduate level. The course is taught by M. Oscamou and T. Hainsworth."
How many credit hours is Introduction to Data Science with Probability and Statistics worth?,Introduction to Data Science with Probability and Statistics is worth 3 credit hours.
Who teaches Introduction to Data Science with Probability and Statistics?,Introduction to Data Science with Probability and Statistics is taught by M. Oscamou and T. Hainsworth.
What is the academic career for Introduction to Data Science with Probability and Statistics?,The academic career for Introduction to Data Science with Probability and Statistics is undergraduate (UGRD).
Are there any restrictions such as prerequisites for enrolling in Introduction to Data Science with Probability and Statistics?,Restrictions for enrolling in Introduction to Data Science with Probability and Statistics may vary by section. It is recommended to check the specific section requirements or consult with the course instructors or department for more information.
What is Computer Systems?,"Computer Systems is a course that covers how programs are represented and executed by modern computers. It includes topics such as low-level machine representations of programs and data, as well as an understanding of how computer components and the memory hierarchy influence performance. The course is known as CSCI 2400 and is also offered as CSPB 2400."
Can you describe CSCI 2400?,"CSCI 2400, also known as Computer Systems, is a course that delves into the representation and execution of programs on modern computers. It provides an in-depth understanding of low-level machine representations of programs and data. Additionally, the course explores how computer components and the memory hierarchy impact the performance of programs. The course is offered for undergraduate students."
How many credit hours is Computer Systems worth?,"The credit hours for Computer Systems, which is CSCI 2400, vary depending on the specific section of the course."
Who teaches Computer Systems?,"Computer Systems, or CSCI 2400, is taught by M. Zagrodzki and C. Godley."
What is the academic career for Computer Systems?,"Computer Systems, listed as CSCI 2400, is offered as an undergraduate course."
Are there any restrictions such as prerequisites for enrolling in Computer Systems?,"Yes, to enroll in Computer Systems (CSCI 2400), you need to have completed either CSCI 2270, CSCI 2275, or ECEN 2370 with a minimum grade of C-. These courses serve as prerequisites."
What is Calculating Biological Quantities?,"Calculating Biological Quantities is a course with the class code CSCI 2897. It is designed to help students master practical mathematical techniques for representing and analyzing various biological quantities. The course focuses on developing mathematical intuition about biological calculations, modeling and solving simple feedback and accumulation processes, as well as modeling and decomposing vector spaces. It also covers standard approximation and optimization strategies. It does not require a background in biology and is intended for students interested in Computational Biology. However, it does not count as Computer Science credit for Computer Science majors or minor."
Can you describe CSCI 2897?,"CSCI 2897 is the class code for Calculating Biological Quantities. It is a course that aims to equip students with practical mathematical techniques for representing and analyzing biological quantities. The course covers topics such as modeling and solving feedback processes, modeling and solving accumulation processes, modeling and decomposing vector spaces, and standard approximation and optimization strategies. It is designed for students interested in Computational Biology and does not require a background in biology. It does not count as Computer Science credit for Computer Science majors or minor."
How many credit hours is Calculating Biological Quantities worth?,Calculating Biological Quantities is worth 3 credit hours.
Who teaches Calculating Biological Quantities?,Calculating Biological Quantities is taught by S. Kissler.
What is the academic career for Calculating Biological Quantities?,The academic career for Calculating Biological Quantities is UGRD (Undergraduate).
Are there any restrictions such as prerequisites for enrolling in Calculating Biological Quantities?,"Yes, there are prerequisites for enrolling in Calculating Biological Quantities. A prerequisite course of APPM 1345 or APPM 1350 or MATH 1300 or MATH 1310 with a minimum grade of C- is required."
What is Biological Networks?,"Biological Networks is a course that examines the computational representation and analysis of biological phenomena through the structure and dynamics of networks, from molecules to species. The course focuses on algorithms for clustering network structures, predicting missing information, modeling flows, regulation, and spreading-process dynamics. It also examines the evolution of network structure and develops intuition for how network structure and dynamics relate to biological phenomena."
Can you describe CSCI 3352?,"CSCI 3352, also known as Biological Networks, is a course that explores the computational representation and analysis of biological phenomena using network structures and dynamics. It covers various topics such as clustering network structures, predicting missing information, modeling flows, regulation, and spreading-process dynamics. The course aims to develop an understanding of how network structure and dynamics are related to biological phenomena."
How many credit hours is Biological Networks worth?,Biological Networks is worth 3 credit hours.
Who teaches Biological Networks?,The instructors for Biological Networks are not specified.
What is the academic career for Biological Networks?,Biological Networks is offered for undergraduate students (UGRD).
Are there any restrictions such as prerequisites for enrolling in Biological Networks?,"Yes, there are prerequisites for enrolling in Biological Networks. Students must have completed at least one of the following courses: ASTR2600, CSCI 2270, CSCI 2275, INFO2201, or PHYS2600. They also need to have completed at least one of the following courses: APPM1345, APPM1350, MATH1300, MATH1310. Additionally, students must have completed at least one of the following courses: APPM3570, CHEN3010, CSCI3022, CVEN3227, EBIO4410, ECEN3810, ECON3818, IPHY3280, MATH3510, MATH4510, MATH4520, MCDB3450, MCEN3047, PSYC2111, STAT2600, STAT3100, STAT4000, or STAT4520. A minimum grade of C- is required in the prerequisite courses."
What is Discrete Structures?,"Discrete Structures is a course offered under the class code CSCI 2824. It covers foundational materials for computer science which are often assumed in advanced courses. The course focuses on topics such as set theory, Boolean algebra, functions and relations, graphs, propositional and predicate calculus, proofs, mathematical induction, recurrence relations, combinatorics, and discrete probability. The course emphasizes examples based on diverse applications of computer science. It is strongly recommended to have completed Calculus 2 (APPM 1360 or MATH 2300) as a prerequisite for this course. Discrete Structures is equivalent to CSPB 2824."
Can you describe CSCI 2824?,"CSCI 2824, also known as Discrete Structures, is a computer science course that covers foundational materials necessary for advanced computer science courses. It focuses on topics such as set theory, Boolean algebra, functions and relations, graphs, propositional and predicate calculus, proofs, mathematical induction, recurrence relations, combinatorics, and discrete probability. The course provides examples based on diverse applications of computer science. A prerequisite for this course is Calculus 2 (APPM 1360 or MATH 2300). The course is worth 3 credit hours and is taught by instructors B. Waggoner and M. Cox."
How many credit hours is Discrete Structures worth?,Discrete Structures is worth 3 credit hours.
Who teaches Discrete Structures?,Discrete Structures is taught by instructors B. Waggoner and M. Cox.
What is the academic career for Discrete Structures?,Discrete Structures is offered for undergraduate students (UGRD).
Are there any restrictions such as prerequisites for enrolling in Discrete Structures?,"Yes, there are prerequisites for enrolling in Discrete Structures. The prerequisites include completing one of the following courses: ASEN 1320, CSCI 1200, CSCI 1300, CSCI 1320, CSCI 2275, ECEN 1030, or ECEN 1310. Additionally, a minimum grade of C- is required in one of the following courses: APPM 1345, APPM 1350, MATH 1300, or MATH 1310."
What is Intensive Programming Workshop?,"Intensive Programming Workshop is a class with the course code CSCI 3010. It is designed to explore concepts and techniques for design and construction of larger, reliable, and maintainable software systems in the context of object-oriented programming. The class covers various topics including object-oriented programming paradigms, scope, inheritance, program structure and design, practical use of version control, working with established code bases, and building graphical user interfaces. It emphasizes coding individually and in pairs and includes in-class lab work, smaller coding assignments, and multiple weeks-long projects. Please note that this class is not intended for students in their final year of the Computer Science BA or BS degree. It was formerly offered as a special topics course."
Can you describe CSCI 3010?,"CSCI 3010 is a class called Intensive Programming Workshop. It is focused on teaching concepts and techniques for designing and building larger, reliable, and maintainable software systems using object-oriented programming. The course covers various topics such as object-oriented programming paradigms, scope, inheritance, program structure and design, practical use of version control, working with established code bases, and building graphical user interfaces. The class consists of individual and pair coding exercises, in-class lab work, smaller coding assignments, and multiple weeks-long projects. It is important to note that this course is not recommended for students in their final year of the Computer Science BA or BS degree. It was previously offered as a special topics course."
How many credit hours is Intensive Programming Workshop worth?,Intensive Programming Workshop is worth 3 credit hours.
Who teaches Intensive Programming Workshop?,Intensive Programming Workshop is taught by J. Gerzso.
What is the academic career for Intensive Programming Workshop?,Intensive Programming Workshop is an undergraduate course.
Are there any restrictions such as prerequisites for enrolling in Intensive Programming Workshop?,"Yes, there are restrictions for enrolling in Intensive Programming Workshop. It requires a prerequisite course of CSCI 2270 or CSCI 2275, and a prerequisite or co-requisite course of CSCI 3308. The minimum grade required for the prerequisite course is C-. Most likely, this means that students need to have completed either CSCI 2270 or CSCI 2275 before enrolling in Intensive Programming Workshop, and also need to have completed or be currently enrolled in CSCI 3308."
What is Computer Science 1: Starting Computing?,"Computer Science 1: Starting Computing is a course that teaches techniques for writing computer programs in higher level programming languages. It is designed for students with little to no experience in computing or programming. The course covers problem-solving in various application domains. Please note that degree credit is not granted for this course if you have already taken CSCI 1310, CSCI 1320, or ECEN 1310. It is also the same as CSPB 1300."
Can you describe CSCI 1300?,"CSCI 1300, also known as Computer Science 1: Starting Computing, is a course that teaches programming techniques using higher level programming languages. It is suitable for students who have little to no prior experience in computing or programming. The course covers a range of topics related to problem-solving and writing computer programs. It is a foundational course in computer science."
How many credit hours is Computer Science 1: Starting Computing worth?,The number of credit hours for Computer Science 1: Starting Computing may vary depending on the specific section or offering. The exact credit hours for the course will be mentioned in the course details or schedule provided by the institution.
Who teaches Computer Science 1: Starting Computing?,"The instructors for Computer Science 1: Starting Computing may vary depending on the institution and the specific section. The course may be taught by professors, lecturers, or teaching assistants who have expertise in computer science and programming languages. The information regarding the instructors for a particular offering of the course can be obtained from the course schedule or departmental website of the institution."
What is the academic career for Computer Science 1: Starting Computing?,Computer Science 1: Starting Computing is an undergraduate-level course. It is designed for students pursuing an undergraduate degree in computer science or a related field. The course is not typically offered at the graduate level.
Are there any restrictions such as prerequisites for enrolling in Computer Science 1: Starting Computing?,"Yes, there are prerequisites or corequisite courses for enrolling in Computer Science 1: Starting Computing. The course requires a minimum grade of C- in one of the following courses: APPM 1235, APPM 1340, APPM 1345, APPM 1350, MATH 1150, MATH 1300, or MATH 1310. These courses provide the necessary mathematical foundation for understanding and applying concepts in Computer Science 1: Starting Computing."
What is Design and Analysis of Database Systems?,"Design and Analysis of Database Systems is a course that introduces the fundamental concepts of database requirements analysis, database design, and database implementation. It focuses on the relational model and the SQL programming language. It also covers the concepts of Big Data and NoSQL systems. The course is offered as CSCI 3287 and CSPB 3287."
Can you describe CSCI 3287?,"CSCI 3287 is a course titled Design and Analysis of Database Systems. It provides an introduction to database requirements analysis, design, and implementation. The course emphasizes the relational model and the SQL programming language. It also introduces the concepts of Big Data and NoSQL systems. The course is worth 3 credit hours."
How many credit hours is Design and Analysis of Database Systems worth?,Design and Analysis of Database Systems is worth 3 credit hours.
Who teaches Design and Analysis of Database Systems?,Design and Analysis of Database Systems is taught by K. Nielsen.
What is the academic career for Design and Analysis of Database Systems?,Design and Analysis of Database Systems is offered for undergraduate students (UGRD).
Are there any restrictions such as prerequisites for enrolling in Design and Analysis of Database Systems?,"Yes, Design and Analysis of Database Systems requires a prerequisite course of CSCI 2270 or CSCI 2275 (minimum grade C-)."
What is Computer Organization?,"Computer Organization is a course that studies computer design at the microarchitecture level. It focuses on topics such as instruction set architecture design, arithmetic and logic unit design, control logic, memory design and caches, simple pipelining, I/O and peripheral devices. It also briefly covers aspects of modern computer architecture, such as multicore processors and hardware security."
Can you describe CSCI 3593?,"CSCI 3593, also known as Computer Organization, is a course that explores computer design at the microarchitecture level. It covers various topics such as instruction set architecture design, arithmetic and logic unit design, control logic, memory design and caches, simple pipelining, I/O and peripheral devices. It also provides a brief overview of modern computer architecture, including multicore processors and hardware security. The course is worth 3 credit hours."
How many credit hours is Computer Organization worth?,Computer Organization is worth 3 credit hours.
Who teaches Computer Organization?,Computer Organization is taught by T. Lehman.
What is the academic career for Computer Organization?,The academic career for Computer Organization is UGRD (Undergraduate).
